corp_code,corp_name,stock_code,modify_date,market
00530556,예스티,122640,20221205,KOSDAQ
00153126,크라운해태홀딩스,005740,20230215,KOSPI
00128661,에스에이엠티,031330,20230215,KOSDAQ
00641171,인지소프트,100030,20221213,KOSDAQ
00223434,에프에스티,036810,20221213,KOSDAQ
00864338,웹스,196700,20221213,KOSDAQ
01169267,세화피앤씨,252500,20230221,KOSDAQ
00325112,프로텍,053610,20221205,KOSDAQ
00925295,에프엔씨엔터,173940,20221205,KOSDAQ
00250997,대정화금,120240,20221206,KOSDAQ
00599957,슈프리마에이치큐,094840,20221206,KOSDAQ
00860332,메리츠금융지주,138040,20230105,KOSPI
00138297,STX,011810,20221206,KOSPI
00807379,신흥에스이씨,243840,20230221,KOSDAQ
00105952,LS,006260,20230106,KOSPI
00378628,KH바텍,060720,20230215,KOSDAQ
00897752,천보,278280,20230221,KOSDAQ
00160621,한국화장품제조,003350,20221206,KOSPI
00363246,우원개발,046940,20221206,KOSDAQ
00539274,대상홀딩스,084690,20221206,KOSPI
00145473,이글벳,044960,20221130,KOSDAQ
01180118,코람코더원리츠,417310,20230119,KOSPI
00575106,씨유테크,376290,20230215,KOSDAQ
01397772,큐라클,365270,20230217,KOSDAQ
01441611,원티드랩,376980,20230221,KOSDAQ
00533508,제이엠티,094970,20221206,KOSDAQ
00405320,웹젠,069080,20221206,KOSDAQ
00203023,시노펙스,025320,20230221,KOSDAQ
00609661,티쓰리,204610,20230220,KOSDAQ
00216498,성도이엔지,037350,20230216,KOSDAQ
00298340,에스티아이,039440,20230216,KOSDAQ
01174038,자비스,254120,20230217,KOSDAQ
00108977,대구백화점,006370,20221128,KOSPI
00858124,알에스오토메이션,140670,20230216,KOSDAQ
00148522,퍼스텍,010820,20230216,KOSPI
00335076,오픈베이스,049480,20230105,KOSDAQ
00134963,송원산업,004430,20230215,KOSPI
00441650,케이씨에스,115500,20221201,KOSDAQ
00127909,삼일,032280,20230215,KOSDAQ
00243757,인포뱅크,039290,20230216,KOSDAQ
00478900,빅솔론,093190,20230217,KOSDAQ
00148948,조비,001550,20221229,KOSPI
01405390,핌스,347770,20230217,KOSDAQ
00124151,부산주공,005030,20221213,KOSPI
00157070,한국단자공업,025540,20230217,KOSPI
01014718,제노코,361390,20230220,KOSDAQ
00870861,와이엠씨,155650,20230215,KOSDAQ
01354740,브이씨,365900,20230217,KOSDAQ
00231354,파워넷,037030,20230209,KOSDAQ
01032486,두산밥캣,241560,20221229,KOSPI
01535150,SK리츠,395400,20221220,KOSPI
00407285,아이컴포넌트,059100,20221202,KOSDAQ
00239596,쎄니트,037760,20230217,KOSDAQ
00577335,대성하이텍,129920,20221208,KOSDAQ
00153755,태양금속공업,004100,20221214,KOSPI
00132804,성신양회,004980,20230116,KOSPI
01222432,에스제이그룹,306040,20230209,KOSDAQ
01437186,ESR켄달스퀘어리츠,365550,20230119,KOSPI
00174208,진성티이씨,036890,20230203,KOSDAQ
00659976,영화테크,265560,20230216,KOSDAQ
01160512,헝셩그룹,900270,20221107,KOSDAQ
00143262,우진아이엔에스,010400,20230210,KOSPI
00114093,덕성,004830,20221109,KOSPI
00181299,상아프론테크,089980,20221230,KOSDAQ
01364747,가온칩스,399720,20230216,KOSDAQ
00654272,램테크놀러지,171010,20221209,KOSDAQ
00990165,아세아시멘트,183190,20221209,KOSPI
00327819,선익시스템,171090,20230215,KOSDAQ
00257732,한국정밀기계,101680,20221109,KOSDAQ
00176516,금화피에스시,036190,20230217,KOSDAQ
00126371,삼성전기,009150,20230102,KOSPI
01686755,파인엠텍,441270,20221027,KOSDAQ
00593032,LF,093050,20221209,KOSPI
00133511,SG세계물산,004060,20221209,KOSPI
00414601,유니퀘스트,077500,20221212,KOSPI
00416654,유엔젤,072130,20230130,KOSPI
00102140,경인전자,009140,20221202,KOSPI
00171867,에스씨디,042110,20221202,KOSDAQ
00287788,정상제이엘에스,040420,20221202,KOSDAQ
01047840,미스터블루,207760,20230220,KOSDAQ
01419135,이노진,344860,20230220,KOSDAQ
00587457,갤럭시아머니트리,094480,20230102,KOSDAQ
00124276,부스타,008470,20221116,KOSDAQ
00155151,피에이치에이,043370,20230216,KOSDAQ
00143527,경동인베스트,012320,20230216,KOSPI
00138446,아가방컴퍼니,013990,20221212,KOSDAQ
00269612,파워로직스,047310,20221212,KOSDAQ
00350482,성우테크론,045300,20221208,KOSDAQ
00256715,국순당,043650,20221208,KOSDAQ
00127936,삼일기업공사,002290,20221208,KOSDAQ
00154055,태원물산,001420,20221209,KOSPI
00447928,네오티스,085910,20230206,KOSDAQ
00144164,SK가스,018670,20230104,KOSPI
00159564,한국주강,025890,20221122,KOSPI
00759294,와이솔,122990,20230216,KOSDAQ
00112165,디아이씨,092200,20230216,KOSPI
00445799,서원인텍,093920,20221220,KOSDAQ
01478712,대덕전자,353200,20230216,KOSPI
00143314,에이엔피,015260,20221209,KOSPI
00138701,아세아,002030,20221209,KOSPI
00364306,성우전자,081580,20221212,KOSDAQ
00244783,한네트,052600,20221214,KOSDAQ
00152783,코메론,049430,20221108,KOSDAQ
00105299,금강공업,014280,20230131,KOSPI
00623661,원익머트리얼즈,104830,20230109,KOSDAQ
00159102,DB손해보험,005830,20230110,KOSPI
00122898,벽산,007210,20221205,KOSPI
01101041,패션플랫폼,225590,20221205,KOSDAQ
01327092,라닉스,317120,20230216,KOSDAQ
00365758,아이앤씨,052860,20221226,KOSDAQ
00808022,메지온,140410,20221227,KOSDAQ
00939331,한국콜마,161890,20221220,KOSPI
00296005,우리로,046970,20221206,KOSDAQ
01077577,우리산업,215360,20221206,KOSDAQ
00231372,롯데관광개발,032350,20221207,KOSPI
00221728,하츠,066130,20221207,KOSDAQ
00761952,아나패스,123860,20221207,KOSDAQ
00129271,삼화전기,009470,20230216,KOSPI
00164812,현대코퍼레이션,011760,20230216,KOSPI
00188797,포메탈,119500,20221228,KOSDAQ
01069736,한독크린텍,256150,20230217,KOSDAQ
00374020,이엘피,063760,20230222,KOSDAQ
01139965,스튜디오미르,408900,20230222,KOSDAQ
00188089,한섬,020000,20230103,KOSPI
00106368,금호석유화학,011780,20230104,KOSPI
00264228,위즈코프,038620,20221208,KOSDAQ
00149026,CS홀딩스,000590,20221208,KOSPI
00256380,유아이엘,049520,20221208,KOSDAQ
00167004,흥구석유,024060,20221209,KOSDAQ
01199189,이랜시스,264850,20230222,KOSDAQ
00112721,대창스틸,140520,20221201,KOSDAQ
00123781,부국철강,026940,20221201,KOSPI
00604815,에스디시스템,121890,20221201,KOSDAQ
00261285,한국가스공사,036460,20230113,KOSPI
01291317,더블유씨피,393890,20230208,KOSDAQ
00961774,유티아이,179900,20230223,KOSDAQ
00154718,비츠로셀,082920,20221209,KOSDAQ
00350020,파인디앤씨,049120,20221209,KOSDAQ
00125646,삼목에스폼,018310,20221209,KOSDAQ
00131692,서흥,008490,20221209,KOSPI
00422284,메가스터디,072870,20221202,KOSDAQ
00107677,비비안,002070,20221207,KOSPI
00234227,유진로봇,056080,20221207,KOSDAQ
00527464,에이치시티,072990,20230222,KOSDAQ
00249982,솔본,035610,20230223,KOSDAQ
00110608,DSR,155660,20230223,KOSPI
01059605,디와이파워,210540,20221213,KOSPI
00540429,휴림로봇,090710,20221207,KOSDAQ
00398808,디지털대성,068930,20230223,KOSDAQ
00265005,옴니시스템,057540,20221207,KOSDAQ
00626011,아이텍,119830,20221207,KOSDAQ
00348034,액토즈소프트,052790,20221207,KOSDAQ
00761059,펌텍코리아,251970,20230223,KOSDAQ
00622787,바이오노트,377740,20221222,KOSPI
00136402,신송홀딩스,006880,20230222,KOSPI
00133335,성창기업지주,000180,20221229,KOSPI
00131054,유진증권,001200,20230110,KOSPI
00185356,제룡전기,033100,20221212,KOSDAQ
00112679,대창단조,015230,20230222,KOSPI
00359076,브리지텍,064480,20221121,KOSDAQ
00439965,나노신소재,121600,20221121,KOSDAQ
01487446,씨엔알리서치,359090,20230222,KOSDAQ
00160205,한국내화,010040,20230222,KOSPI
00628860,네오위즈,095660,20230222,KOSDAQ
00576789,디젠스,113810,20221212,KOSDAQ
00360674,코위버,056360,20221212,KOSDAQ
00133557,PN풍년,024940,20221212,KOSDAQ
00129280,삼화전자공업,011230,20221103,KOSPI
00141608,오리엔탈정공,014940,20230222,KOSDAQ
00404288,아진엑스텍,059120,20221212,KOSDAQ
00135467,승일,049830,20221212,KOSDAQ
00260383,대한유화,006650,20221215,KOSPI
01301252,티이엠씨,425040,20230223,KOSDAQ
00579971,칩스앤미디어,094360,20230222,KOSDAQ
00364847,이글루,067920,20221129,KOSDAQ
00883980,아이디스,143160,20221129,KOSDAQ
00604426,인터로조,119610,20230222,KOSDAQ
00491053,진바이오텍,086060,20221123,KOSDAQ
00359580,아이디스홀딩스,054800,20230223,KOSDAQ
00145109,유한양행,000100,20230208,KOSPI
00201131,아즈텍WB,032080,20221202,KOSDAQ
00925189,신화콘텍,187270,20221202,KOSDAQ
00132628,성문전자,014910,20221125,KOSPI
00866062,엘티씨,170920,20221125,KOSDAQ
00305297,코텍,052330,20230223,KOSDAQ
00413523,한미글로벌,053690,20230223,KOSPI
00185222,크린앤사이언스,045520,20221202,KOSDAQ
00142883,우신시스템,017370,20221202,KOSPI
00161781,아난티,025980,20230222,KOSDAQ
00612188,에스티오,098660,20221129,KOSDAQ
00980122,JB금융지주,175330,20230113,KOSPI
01505186,하이딥,365590,20221205,KOSDAQ
00137012,에스앤더블류,103230,20221205,KOSDAQ
00118275,디아이,003160,20221205,KOSPI
00235183,에이치케이,044780,20221205,KOSDAQ
00807397,코이즈,121850,20221205,KOSDAQ
00133876,세보엠이씨,011560,20230222,KOSDAQ
00500254,GS,078930,20221227,KOSPI
00113359,교보증권,030610,20230102,KOSPI
00347062,현대바이오랜드,052260,20221205,KOSDAQ
00264732,파인디지털,038950,20221208,KOSDAQ
00879020,유니트론텍,142210,20230220,KOSDAQ
00295547,디지아이,043360,20221205,KOSDAQ
00186717,태양,053620,20221207,KOSDAQ
00177816,대주전자재료,078600,20221207,KOSDAQ
00351807,대원미디어,048910,20221207,KOSDAQ
01326224,원바이오젠,307280,20230220,KOSDAQ
00109587,대륙제관,004780,20221212,KOSDAQ
00161976,한세예스24홀딩스,016450,20221212,KOSPI
01196313,유에스티,263770,20221212,KOSDAQ
00447502,바이오톡스텍,086040,20221202,KOSDAQ
00261009,감성코퍼레이션,036620,20221118,KOSDAQ
00435312,하이스틸,071090,20221219,KOSPI
00916826,드림씨아이에스,223250,20230214,KOSDAQ
01187494,덴티스,261200,20221124,KOSDAQ
00246417,이오테크닉스,039030,20230220,KOSDAQ
00555874,제주항공,089590,20221227,KOSPI
00406727,세진티에스,067770,20230222,KOSDAQ
00120021,LG,003550,20221220,KOSPI
00432102,한국금융지주,071050,20221228,KOSPI
00231664,우리기술투자,041190,20221228,KOSDAQ
00115065,동남합성,023450,20221229,KOSPI
00921916,석경에이티,357550,20230214,KOSDAQ
00162832,한일단조,024740,20221125,KOSDAQ
00266934,파루,043200,20221125,KOSDAQ
00369657,리노공업,058470,20230216,KOSDAQ
00563518,비나텍,126340,20230220,KOSDAQ
00170558,코웨이,021240,20230103,KOSPI
00269940,하나투어,039130,20230103,KOSPI
00360577,엑사이엔씨,054940,20230103,KOSDAQ
00204262,한글과컴퓨터,030520,20230214,KOSDAQ
00238153,파세코,037070,20221129,KOSDAQ
00258421,기산텔레콤,035460,20230220,KOSDAQ
01576102,미래에셋글로벌리츠,396690,20230110,KOSPI
01062867,디알텍,214680,20230222,KOSDAQ
00359623,우리산업홀딩스,072470,20221206,KOSDAQ
00240857,바이오스마트,038460,20221206,KOSDAQ
00306162,상상인,038540,20230220,KOSDAQ
00138260,SIMPAC,009160,20230109,KOSPI
00485177,일진파워,094820,20230214,KOSDAQ
00261355,레드캡투어,038390,20230214,KOSDAQ
00164724,현대엘리베이터,017800,20230110,KOSPI
00423177,텔레칩스,054450,20230222,KOSDAQ
00231442,디지틀조선,033130,20221026,KOSDAQ
01013311,헥토이노베이션,214180,20230220,KOSDAQ
00249247,YG PLUS,037270,20230220,KOSPI
01035368,티에프이,425420,20221117,KOSDAQ
00961570,신도기연,290520,20230220,KOSDAQ
00148364,하림지주,003380,20230220,KOSDAQ
00997812,코미코,183300,20230215,KOSDAQ
00695969,동운아나텍,094170,20221130,KOSDAQ
00139764,에넥스,011090,20221130,KOSPI
00128926,삼현철강,017480,20230120,KOSDAQ
00612489,아이쓰리시스템,214430,20230223,KOSDAQ
00140052,에이스침대,003800,20230215,KOSDAQ
00367455,현우산업,092300,20230220,KOSDAQ
00105606,금호에이치티,214330,20221201,KOSPI
00133618,세기상사,002420,20221201,KOSPI
01142075,핑거,163730,20230220,KOSDAQ
00201742,유라테크,048430,20221107,KOSDAQ
00133812,세방,004360,20230214,KOSPI
00666064,셀바스AI,108860,20230215,KOSDAQ
00608839,에이루트,096690,20221201,KOSDAQ
00202839,한창산업,079170,20221201,KOSDAQ
00400060,이씨에스,067010,20230223,KOSDAQ
00158112,한국수출포장공업,002200,20230210,KOSPI
01397620,루닛,328130,20230220,KOSDAQ
00139083,아진산업,013310,20221202,KOSDAQ
00163196,한일철강,002220,20221202,KOSPI
00109718,사조대림,003960,20230221,KOSPI
00994994,나노,187790,20221128,KOSDAQ
00201733,TJ미디어,032540,20221115,KOSDAQ
01047451,셀바스헬스케어,208370,20230215,KOSDAQ
00569646,영우디에스피,143540,20230220,KOSDAQ
00423690,삼성출판사,068290,20221205,KOSPI
00152260,카스,016920,20221205,KOSDAQ
00398668,휴비츠,065510,20230125,KOSDAQ
00340272,에스폴리텍,050760,20221116,KOSDAQ
00152039,SG글로벌,001380,20221128,KOSPI
00587466,KPX홀딩스,092230,20221128,KOSPI
01158553,켄코아에어로스페이스,274090,20221128,KOSDAQ
00141413,영화금속,012280,20221205,KOSPI
00993931,동양파일,228340,20221124,KOSDAQ
01128613,화승엔터프라이즈,241590,20230214,KOSPI
00796994,조선선재,120030,20230727,KOSPI
00353878,다스코,058730,20230508,KOSPI
00819073,인크로스,216050,20230809,KOSDAQ
00122579,BYC,001460,20230810,KOSPI
01367586,제이아이테크,417500,20230227,KOSDAQ
01165739,잉글우드랩,950140,20230405,KOSDAQ
00156354,지엠비코리아,013870,20230223,KOSPI
00551920,네오팜,092730,20230713,KOSDAQ
01488320,필에너지,378340,20230714,KOSDAQ
00108612,DS단석,017860,20231222,KOSPI
01791321,하나30호스팩,469880,20231222,KOSDAQ
01305869,세니젠,188260,20231103,KOSDAQ
00561723,쏘닉스,088280,20231107,KOSDAQ
00138279,S-Oil,010950,20230510,KOSPI
00160418,한국무브넥스,010100,20230510,KOSPI
01146220,팸텍,271830,20230523,KOSDAQ
00145552,이수화학,005950,20230525,KOSPI
00167031,흥국,010240,20230223,KOSDAQ
00449379,도이치모터스,067990,20230223,KOSDAQ
00116949,DN오토모티브,007340,20230412,KOSPI
00239514,삼진엘앤디,054090,20230412,KOSDAQ
01328639,윙입푸드,900340,20230425,KOSDAQ
00191287,대동금속,020400,20230907,KOSDAQ
01144028,씨티케이,260930,20230818,KOSDAQ
00176914,다우기술,023590,20231106,KOSPI
00121686,엠케이전자,033160,20231116,KOSDAQ
